연도,월,평균 풍속(m/s),평균기압(hPa),평균 상대습도(%),평균 수온(°C),평균 유의 파고(m),평균 파주기(sec),한국,중국,일본,수입환적(TEU),수출환적(TEU),수입물가지수,usd비율(Yuan/US),Dubai국제유가(US/배럴),강수량(mm),평균기온,평균최저기온,평균최고기온,?섏텧(TEU),?섏엯?섏쟻(TEU)
2014,1,6.253333333,1023.482759,52.13333333,14.05333333,0.976666667,6.336666667,1,3,2,408239,389979.75,128.15,6.105,104,9.6,5,1.2,9.7,353915.75,365515
2014,2,7.807142857,1022.72963,65.39285714,13.28928571,1.65,7.264285714,1,2,1,313752,350400.25,128.34,6.121,105,44.1,5.8,2.7,9.9,334478,334191.25
2014,3,6.08,1019.79,67.13333333,13.09666667,1.167741935,6.425806452,1,1,1,410435.5,383563.5,127.66,6.152,104.4,136.7,9.8,6.2,14.5,405896.25,402860.75
2014,4,5.116666667,1016.806667,72.86666667,14.79,0.877777778,5.877777778,0,3,1,390004,401684.25,127.56,6.158,104.6,147.8,14.6,11.2,19.3,391681.5,402606.75
2014,5,5.283333333,1012.036667,79.26666667,16.34,0.886666667,5.896666667,2,5,4,402278.75,388978.25,127.7,6.169,105.6,145.9,18.7,15.4,23.2,396793.75,395188.75
2014,6,5.643333333,1006.925,86.37931034,19.30689655,0.863333333,5.703333333,2,2,0,411060.5,401276.25,128.39,6.153,107.9,44.5,21.4,19,24.9,381016.75,404555.75
2014,7,4.238709677,1007.103226,90.32258065,22.04516129,0.777419355,6.822580645,0,0,1,399026.5,408443.25,127.66,6.168,106.1,169.3,24.8,22.4,28.1,392841.25,392414.25
2014,8,6.13,1007.2,88.03333333,23.62,1.28,7.416666667,1,0,0,402695.25,393746.75,126.15,6.165,101.9,642.2,24.2,22.2,27.1,379778.5,389640
2014,9,6.28,1012.403333,76,24.19333333,0.95,5.886666667,4,4,2,392552.25,377594.75,124.19,6.153,96.6,128.7,22.7,19.9,26.5,380106.5,372122
2014,10,8.39047619,1016.396667,68.80645161,22.45483871,1.714285714,7.157142857,2,4,1,398337.5,396798.25,119.97,6.146,86.8,162.5,17.9,14.6,22.1,406738.75,407854.75
2014,11,4.85,1020.856667,59.56666667,19.15333333,0.788461538,6.311538462,0,0,3,396021,399698.25,115.92,6.135,77.1,40.5,12.7,9.2,17.4,387306.75,402524.75
2014,12,6.390322581,1021.570968,60.70967742,16.58387097,1.077419355,6.635483871,1,0,1,412207.25,400581.75,109.41,6.119,60.2,21.3,3.5,-0.5,8.2,385736,388164.75
2015,1,6.380645161,1021.719355,54.16129032,14.78709677,1.032258065,6.906451613,1,3,2,430654,418702.25,102.71,6.137,45.8,50.7,4.7,0.9,9.4,387910.75,382877.75
2015,2,6.371428571,1022.010714,57.67857143,13.71071429,1.067857143,6.785714286,3,7,1,432386.5,410158.5,104.85,6.148,55.7,30.5,5.4,1.4,10.2,359497,333241.5
2015,3,6.421428571,1019.8,60.51612903,12.89354839,0.993548387,6.551612903,1,1,1,409222.75,431836.5,104.25,6.142,54.7,76.5,9.5,5.4,14.3,423856.25,429178.75
2015,4,7.176,1018.553333,74.43333333,13.36,1.246666667,6.31,0,3,1,423247,427267.5,103.84,6.114,57.7,268,13.9,10.6,17.8,416578.5,402026.75
2015,5,4.906451613,1012.929032,82.77419355,14.51290323,0.826666667,5.158064516,2,4,4,418331.75,422003.75,104.8,6.12,63,183,18.8,15.4,22.9,401813.25,404982.25
2015,6,3.593333333,1008.296667,88.76666667,17.91333333,0.506666667,5.893333333,1,3,0,416832.25,410090.75,103.67,6.114,60.8,69.2,21,18.4,24.7,383395.75,391738.5
2015,7,5.741935484,1007.364516,91.41935484,20.21290323,1.119354839,6.2,0,0,1,423565.75,423388.75,100.63,6.117,55.6,176.7,23.9,21.7,27,378943.75,383199.25
2015,8,5.193548387,1008.987097,91.67741935,24.06774194,1.086206897,6.819354839,1,0,0,429171,431787.25,97.28,6.389,47.8,132.5,26.1,23.5,29.3,392268.5,389737.5
2015,9,5.826666667,1008.176667,82.43333333,25.28,1.3,6.820689655,4,2,3,413565.75,418014.5,96.05,6.361,45.8,172,22.1,19.2,25.9,385572,394059.75
2015,10,6.690322581,1014.351613,72.61290323,23.69677419,1.158064516,6.264516129,2,8,1,440174.25,432948,95.91,6.35,45.8,62,18.1,14.4,22.9,404191.25,365617.5
2015,11,5.796666667,1019.75,68,20.18666667,0.923333333,5.9,0,0,2,390418,405047.5,94.31,6.398,41.6,124.1,13.6,10.9,17.5,364608.25,379828.25
2015,12,6.616129032,1020.574194,71.90322581,17.8483871,1.364516129,7.112903226,1,0,1,436907.75,409596.25,91.7,6.492,34.9,51.5,7.9,4.4,12.4,414604,393679.25
